,author,statement,source,date,target
57,Ciara O'Rourke,"Says Elizabeth Warren said, “Allowing Republicans to vote could threaten the integrity of an election.”",Viral image,"February 27, 2023",false
58,Jill Terreri,53% of Americans made aware of the Hunter Biden laptop story would have changed their vote in 2020.,Elise Stefanik,"• February 25,",false
59,Jeff Cercone,"""The laws governing Agenda 2030 land development allows the government to seize polluted lands and move their residents to … smart cities.”",Instagram posts,"February 24, 2023",false
60,Samantha Putterman,Apple will pay customers $700 for a slowed-down iPhone.,Instagram posts,"February 24, 2023",false
61,Ciara O'Rourke,President Joe Biden was “shot” in a “behind-the-scenes execution.”,Facebook posts,"February 23, 2023",pants-fire
62,Ciara O'Rourke,“President Joe Biden admits to faking the election.”,Instagram posts,"February 23, 2023",false
63,Loreben Tuquero,"In Australia, a “17% increase in heart attack deaths” in the first eight months of 2022 is linked to COVID-19 vaccination.",Instagram posts,"February 23, 2023",false
64,Ciara O'Rourke,"“Clinton aide found dead, tied to tree in apparent murder.”",Facebook posts,"February 23, 2023",false
65,Ciara O'Rourke,“Every single one” of former President Barack Obama’s Medal of Freedom recipients in this video “was on Epstein’s flight logs.”,Viral image,"February 23, 2023",false
66,Amy Sherman,Student ID cards are a “source of fraud” at the polls.,Tina Lambert,"February 23, 2023",false
67,Yacob Reyes,"""George Soros has endorsed (Ron) DeSantis for 2024.""",The Gateway Pundit,"February 23, 2023",false
68,Ciara O'Rourke,“Joe Biden changes the name of Black History Month.”,Instagram posts,"February 23, 2023",false
69,Ciara O'Rourke,Big-box stores are refunding and crediting customers for fraud and discrimination.,Facebook posts,"February 23, 2023",false
70,Ciara O'Rourke,“Putin decimates another adrenochrome warehouse in Ukraine.”,Bloggers,"February 23, 2023",pants-fire
71,Ciara O'Rourke,Audio is a “record of Biden trying to cover up his stolen documents crime.”,Instagram posts,"February 23, 2023",false
72,Ciara O'Rourke,Andrew Tate was released from prison and “proven not guilty.”,Instagram posts,"February 23, 2023",false
73,Ciara O'Rourke,Winston Churchill didn’t mention the Holocaust in his memoirs because it didn’t happen.,Instagram posts,"February 23, 2023",pants-fire
74,Gabrielle Settles,Photo shows “what railways in Ohio look like while we send $40 billion to Ukraine.”,Facebook posts,"February 23, 2023",false
75,Samantha Putterman,"“Because the Covid shots are still manufactured under the Emergency Use Authorization, they can change up to 49% of the ingredients without FDA approval.""",Instagram posts,"February 22, 2023",false
76,Ciara O'Rourke,“Leaked audio recording of Biden and Zelenskyy talking in private.”,Viral image,"February 22, 2023",false
77,Ciara O'Rourke,A photo shows President Joe Biden and Ukrainian President Volodymyr Zelenskyy holding hands.,Viral image,"February 22, 2023",false
78,Ciara O'Rourke,The U.S. State Department has started a special immigrants visa “evacuation operation.”,Facebook posts,"February 22, 2023",false
79,Louis Jacobson,“I never claimed to be Jewish.”,George Santos,"February 22, 2023",pants-fire
80,Ciara O'Rourke,Richard Belzer died because of a COVID-19 vaccine.,Facebook posts,"February 22, 2023",false
81,Warren Fiske,Brown v. Board of Education “was never about sending Black children to white schools. It was about parents being able to decide where to send their children to school.”,Winsome Earle-Sears,"February 22, 2023",false
82,Jeff Cercone,"""Biden admin negotiates deal to give WHO authority over US pandemic policies.”",Instagram posts,"February 21, 2023",false
83,Paul Specht,“One man was actually killed” during 2020 protests of police brutality in Raleigh,Tim Moore,"February 21, 2023",false
84,Ciara O'Rourke,Video shows “the earthquake in Turkey.”,Facebook posts,"February 21, 2023",false
85,Loreben Tuquero,“Mickey Mouse to be replaced as official Disney mascot.”,Instagram posts,"February 20, 2023",false
86,Tom Kertscher,The dog dewormer fenbendazole can cure cancer in humans.,Facebook posts,"February 20, 2023",false
87,Louis Jacobson,"The “average tax” for billionaires is “about 3%,” which is “a lower tax than a schoolteacher or a firefighter.""",Joe Biden,"February 20, 2023",false
88,Jeff Cercone,“Seven ecological disasters in less than 2 weeks. … We are under attack.”,Facebook posts,"February 17, 2023",false
89,Ciara O'Rourke,KFC tweeted an image of a chicken drumstick for Black History Month.,Viral image,"February 17, 2023",false
90,Ciara O'Rourke,A photo shows birds that “dropped dead” in Kentucky after the train derailment in Ohio.,Facebook posts,"February 17, 2023",false
91,Ciara O'Rourke,“Criminal caught after cutting off 37 man buns.”,Viral image,"February 17, 2023",false
92,Ciara O'Rourke,The city of Atlanta is banning the word “women.”,Viral image,"February 17, 2023",false
93,Loreben Tuquero,"At the World Economic Forum, Moderna CEO Stéphane Bancel admitted that his company produced 100,000 doses of COVID-19 vaccines in 2019, before the pandemic started.",Instagram posts,"February 17, 2023",false
94,Maria Ramirez,"“No administration has ever looked less like America, just by the numbers, than the Biden administration.”",Tucker Carlson,"• February 17,",pants-fire
95,Jeff Cercone,"In Australia, ""All joggers must wear a helmet.”",Facebook posts,"February 16, 2023",false
96,Ciara O'Rourke,President Joe Biden said “this s--- will turn your pacemaker off.”,Viral image,"February 16, 2023",pants-fire
97,Ciara O'Rourke,Russian President Vladimir Putin “intercepts adrenochrome shipment headed to United States.”,Bloggers,"February 16, 2023",pants-fire
98,Jeff Cercone,"""Mother Teresa sold babies.”",Instagram posts,"February 15, 2023",false
99,Madison Czopek,"""It's President Biden who is proposing to cut Medicare Advantage.""",Tom Cotton,"February 15, 2023",false
100,Loreben Tuquero,“Michigan State University suspect is 22-year-old ‘Raymone Jordan.’”,Social Media,"February 15, 2023",false
101,Loreben Tuquero,"“Humans are not causing climate change.” Magnetic pole shifting “is causing havoc worldwide in weather, climate, earthquakes, tsunamis, etc.”",Instagram posts,"February 15, 2023",false
102,Jeff Cercone,"The earthquake in Turkey is a ""scripted"" use of geo engineering weather modification HAARP",Facebook posts,"February 15, 2023",false
103,Samantha Putterman,The Michigan State University shooter is a 21-year-old man named Lynn Dee Walker.,Facebook posts,"February 14, 2023",false
104,Sara Swann,The Kansas City Chiefs’ Super Bowl win has been “put on hold as NFL plans to launch an investigation on possible (performance-enhancing drug) use by Patrick Mahomes during halftime.”,Tweets,"February 13, 2023",pants-fire
105,Jeff Cercone,“Joe Biden put his pants on backwards”,Instagram posts,"February 10, 2023",pants-fire
106,Ciara O'Rourke,Gen. Mark Milley “never served in combat.”,Viral image,"February 10, 2023",false
107,Ciara O'Rourke,Photos show someone in a President Joe Biden mask at the State of the Union.,Facebook posts,"February 10, 2023",pants-fire
108,Ciara O'Rourke,A photo shows a deputy U.S. marshal “keeping a close eye” on President Joe Biden at the State of the Union address on Feb. 7.,Facebook posts,"February 10, 2023",false
109,Ciara O'Rourke,A video shows a dog trying to reach her puppies after the Turkey-Syria earthquake.,Viral image,"February 10, 2023",false
110,Ciara O'Rourke,“100% of COVID deaths in Canada now due to mRNA vaccine.”,Viral image,"February 10, 2023",false
111,Ciara O'Rourke,Photo shows former President Donald Trump and Mexican President Andrés Manuel López Obrador kissing.,Viral image,"February 10, 2023",false
112,Louis Jacobson,President Joe Biden “cheated on his taxes and got away with it.”,Rick Scott,"February 10, 2023",false
113,Ciara O'Rourke,"“NASA Curiosity finds Nazi helmet on Mars.""",Viral image,"February 10, 2023",false
114,Jeff Cercone,"""Joe Biden's wide open southern border"" is to blame for fentanyl deaths in the U.S.",Kayleigh McEnany,"February 10, 2023",false
115,Ciara O'Rourke,“There are no humans” on the International Space Station.,Facebook posts,"February 9, 2023",false
116,Tom Kertscher,"Earthquake in Turkey and Syria is ""a systemic attack against Kurdish people.""",Instagram posts,"February 9, 2023",pants-fire
117,Sara Swann,An ingredient in some of Chick-fil-A’s dipping sauces can cause serious health problems.,Facebook posts,"February 9, 2023",false
118,Samantha Putterman,"“In the past two years, democracies have become stronger, not weaker. Autocracies have grown weaker, not stronger.”",Joe Biden,"February 9, 2023",false
119,Ciara O'Rourke,"Mark Zuckerberg launched a platform last month ""that allows each user to earn from $500 a day without even leaving home.""",Facebook posts,"February 8, 2023",false
120,Amy Sherman,Joe Biden closed schools during the COVID-19 pandemic.,Lauren Boebert,"February 8, 2023",false
121,Tom Kertscher,"""Unusual cancers” are “exploding right into stage 4"" and those cancer cells have “the spike protein.""",Facebook posts,"February 8, 2023",false
122,Madison Czopek,Photo showing Game of Thrones characters depicts victims of the earthquake in Turkey and Syria.,Instagram posts,"February 8, 2023",false
123,Jeff Cercone,"Image shows a ""Super Bowl script was leaked.”",Tweets,"February 7, 2023",pants-fire
124,Samantha Putterman,"Backyard chicken flocks have stopped laying eggs, and the feed is responsible.",Facebook posts,"February 7, 2023",false
125,Sara Swann,“‘Satellites’ are on balloons and not in space.”,Instagram posts,"February 7, 2023",pants-fire
126,Warren Fiske,“You know how many children are dying across Virginia because of fentanyl poisoning? A heck of a lot more than are dying at the hands of guns.”,Mark Obenshain,"February 7, 2023",false
127,Jeff Cercone,"In Ukraine, 2,458 NATO soldiers and 234 NATO military trainers have died, some of whom are from the U.S.",Tweets,"February 6, 2023",pants-fire
128,Madison Czopek,“Pfizer just got caught doing gain of function to mutate covid intentionally for vaccines.”,Instagram posts,"February 6, 2023",false
129,Paul Specht,Diamond and Silk pundit died from COVID-19,Tweets,"February 6, 2023",false
130,Jeff Cercone,"Joe Biden said to transgender women, “you will never be a real woman.”",Instagram posts,"February 6, 2023",pants-fire
131,Ciara O'Rourke,A vigilante “shot down the Chinese spy balloon in an extraordinary act.”,Instagram posts,"February 6, 2023",false
132,Jeff Cercone,Illinois “received $5.1 billion at an elementary school there that used it for equity and diversity.”,Marjorie Taylor Greene,"February 3, 2023",false
133,Jeff Cercone,"President Joe Biden said, “The idea that we’re going to send in tanks to Ukraine, that’s called World War III.”",Tweets,"February 2, 2023",false
134,Sara Swann,Pregnancy tests include a “hidden Plan B” pill.,Facebook posts,"February 2, 2023",false
135,Loreben Tuquero,"“More classified documents (were) found at the University of Delaware,” the “equivalent of a tractor trailer worth.”",Peggy Hubbard,"February 2, 2023",false
136,Tom Kertscher,"U.S. Rep. Ilhan Omar is ""facing 40 years in prison and deportation after seven new crimes uncovered.""",Facebook posts,"February 2, 2023",false
137,Madison Czopek,The officers who beat Tyre Nichols targeted him because he was “allegedly dating” one of their wives.,Facebook posts,"February 1, 2023",false
138,Louis Jacobson,"“The largest contributor to the debt ceiling, or to our deficit, has been the Trump tax cuts.”",Alexandria Ocasio-Cortez,"February 1, 2023",false
139,Jeff Cercone,"""Doctors say colon cancer is on the rise due to toxins absorbed while cooking food (in) the microwave.”",Instagram posts,"January 31, 2023",false
140,Ciara O'Rourke,Video shows people collapsing because of COVID-19 vaccines.,Viral image,"January 31, 2023",false
141,Ciara O'Rourke,"The government caused a fire at Hillandale Farms in Connecticut “so that they can force us into eating their fake GMO meats, or starve us into compliance.”",Viral image,"January 31, 2023",false
142,Ciara O'Rourke,U.S. Rep. Alexandria Ocasio-Cortez tweeted that Instagram needs to “TERMINATE…a right-wing media page posting CONSERVATIVE content.”,Viral image,"January 31, 2023",false
143,Ciara O'Rourke,“BREAKING GOP approves resolution to expel Omar from Congress! It’s over for her!”,Facebook posts,"January 31, 2023",false
144,Ciara O'Rourke,The Georgia High School Association started issuing a “sudden cardiac arrest awareness form” in the wake of COVID-19 vaccines.,Viral image,"January 31, 2023",false
145,Ciara O'Rourke,Video shows a “man burning the Quran in Sweden.”,Facebook posts,"January 31, 2023",false
146,Ciara O'Rourke,Video shows Congress “erupting” over U.S. Sen. Ted Cruz’s remarks.,Facebook posts,"January 31, 2023",false
147,Amy Sherman,"Same-day voter registration ""does not allow election officials to verify the validity and accuracy of voter information.""",Rick Scott,"January 31, 2023",false
148,Andy Nguyen,Global warming is a “fraud.”,Facebook posts,"January 31, 2023",false
149,Ciara O'Rourke,“Biden smirks while saying he has added more to the debt than any president before him.”,Viral image,"January 31, 2023",false
150,Gabrielle Settles,Black Americans are not descended from people who were taken from Africa to be enslaved.,Facebook posts,"January 31, 2023",pants-fire
151,Warren Fiske,Glenn Youngkin is “the first sitting Governor in the modern era to have their party have less legislative seats than when they were elected.”,Louise Lucas,"January 31, 2023",false
152,Ciara O'Rourke,"President Joe Biden said, “To the Ukrainian people, I say to them all, you might you might they they might be able to make right and they’re not able to.”",Viral image,"January 30, 2023",false
153,Ciara O'Rourke,This photo shows former President Donald Trump “last week.”,Viral image,"January 30, 2023",false
154,Tom Kertscher,“NASA stopped exploring the ocean.”,Instagram posts,"January 30, 2023",pants-fire
155,Samantha Putterman,The United States of America “no longer exists” because President Joe Biden “signed away our sovereignty as a nation.”,Facebook posts,"January 30, 2023",pants-fire
156,Jeff Cercone,The amount the U.S. has spent in Ukraine is “double the U.S. expenditure for its own war in Afghanistan.”,Instagram posts,"January 27, 2023",false
157,Ciara O'Rourke,A photo shows “Barack Obama dressed up as Baphomet (Lucifer).”,Viral image,"January 27, 2023",pants-fire
158,Ciara O'Rourke,President Joe Biden signed an executive order “making health insurance free for qualifying Americans.”,Facebook posts,"January 27, 2023",false
159,Ciara O'Rourke,“Scientists warn eggs are causing thousands of people to ‘suddenly’ form blood clots.”,Viral image,"January 27, 2023",false
160,Ciara O'Rourke,Hospital photo of Damar Hamlin proves “he’s a corpse.”,Facebook posts,"January 27, 2023",pants-fire
161,Madison Czopek,“The average American has anywhere from 5 to 15 pounds” of stool stuck in their gut.,Facebook posts,"January 27, 2023",false
162,Madison Czopek,“The World Health Organization has been working since 1974 on vaccines to create permanent sterility.”,Instagram posts,"January 27, 2023",false
163,Gabrielle Settles,The Transportation Security Administration spent “a couple hundred million dollars” on gender-neutral screening technology.,Facebook posts,"January 27, 2023",false
164,Ciara O'Rourke,Video shows hecklers shouting profanities at President Joe Biden.,Viral image,"January 26, 2023",false
165,Ciara O'Rourke,“Aretha Franklin’s 1968 song ‘A Natural Woman’ deemed ‘offensive’ by trans community.”,Facebook posts,"January 26, 2023",false
166,Ciara O'Rourke,Video shows Rep. Alexandria Ocasio-Cortez crying after “Ted Cruz gets up and humiliates her to her face.”,Facebook posts,"January 26, 2023",false
167,Samantha Putterman,The sinking of the Titanic was orchestrated by the Rothschilds and J.P. Morgan to kill prominent businessmen who opposed the creation of the Federal Reserve.,Instagram posts,"January 26, 2023",pants-fire
168,Jeff Cercone,"In California, there were “10 million mail ballots unaccounted for” in the November midterm election.",Public Interest Legal Foundation,"January 26, 2023",false
169,Tom Kertscher,"People not vaccinated against COVID-19 “came out the best.""",Scott Adams,"January 26, 2023",false
170,Loreben Tuquero,Electrically charged stones discovered in Congo.,Instagram posts,"January 26, 2023",false
171,Jeff Cercone,"Sen. Josh Hawley told professor, “I will not use your pronouns.”",Facebook posts,"January 26, 2023",pants-fire
172,Ciara O'Rourke,“Andrew Tate officially gets sentenced to 15 years in prison! (Found guilty).”,Facebook posts,"January 25, 2023",false
173,Ciara O'Rourke,“Putin destroys adrenochrome lab in Ukraine.”,Bloggers,"January 25, 2023",pants-fire
174,Samantha Putterman,“Chickens aren’t laying eggs because RNA is being added to commercial chicken feed.”,TikTok posts,"January 25, 2023",false
175,Ciara O'Rourke,Polio wasn’t eradicated in the United States by a vaccine.,Instagram posts,"January 25, 2023",false
176,Ciara O'Rourke,Christine Grady “is the head of NIH.”,Instagram posts,"January 25, 2023",false
177,Sara Swann,The U.S. chicken and egg shortage is linked to Bill Gates.,Instagram posts,"January 25, 2023",false
178,Laura Schulte,“Let’s be clear: ‘drag shows’ are strip shows.”,Scott Walker,"January 25, 2023",false
179,Ciara O'Rourke,Sudden arrhythmic death syndrome and “stroke season” didn’t exist before the COVID-19 pandemic.,Instagram posts,"January 24, 2023",false
180,Ciara O'Rourke,Actor Isaac Kappy was murdered for exposing Hollywood pedophiles.,Facebook posts,"January 24, 2023",pants-fire
181,Ciara O'Rourke,“NOAA makes it official… CO2 warming is a hoax.”,Viral image,"January 24, 2023",false
182,Ciara O'Rourke,Historic photos are evidence these celebrities were cloned.,Viral image,"January 24, 2023",false
183,Ciara O'Rourke,Damar Hamlin wasn’t at the Buffalo Bills' playoff game.,TikTok posts,"January 23, 2023",pants-fire
184,Ciara O'Rourke,Video proves Greta Thunberg is a crisis actor.,Instagram posts,"January 23, 2023",false
185,Andy Nguyen,"""Climate change is a naturally occurring phenomenon that can be tracked throughout prehistoric eras.""",Instagram posts,"January 23, 2023",false
186,Ciara O'Rourke,A video shows wreckage of the recent plane crash in Nepal.,Facebook posts,"January 23, 2023",false
187,Jeff Cercone,"""New York is bombed. At this moment, there are many injured.”",Instagram posts,"January 23, 2023",pants-fire
188,Tom Kertscher,“MRNA vaccines are being injected into our food supply.”,Facebook posts,"January 23, 2023",false
189,Samantha Putterman,Bill Gates tweeted that “vaccines in our food supply solves the problem of vaccine hesitancy.”,Instagram posts,"January 20, 2023",pants-fire
190,Ciara O'Rourke,The Federal Aviation Administration widened its electrocardiogram parameters for pilots because “a substantial number of airline pilots have had serious heart damage” from COVID-19 vaccines.,Instagram posts,"January 20, 2023",false
191,Jeff Cercone,Video shows hidden theater “where elites sacrifice kids.”,Instagram posts,"January 20, 2023",pants-fire
192,Yacob Reyes,"""Almost every study now has said with these new boosters, you're more likely to get infected with the bivalent booster.""",Ron DeSantis,"January 20, 2023",false
193,Samantha Putterman,Harvard Medical School students “learn how to care for LGBTQIA+ infants.”,TikTok posts,"January 20, 2023",false
194,Ciara O'Rourke,A video shows a real angel in the sky in Palestine.,Viral image,"January 20, 2023",false
195,Ciara O'Rourke,A video shows the deadly Jan. 15 plane crash in Nepal.,Facebook posts,"January 20, 2023",false
196,Ciara O'Rourke,CNN reported that Damar Hamlin’s doctor confirmed his cardiac arrest was caused by a COVID-19 vaccine booster.,Viral image,"January 19, 2023",false
197,Samantha Putterman,"Document shows that Hunter Biden paid Joe Biden $50,000 a month in rent.",Facebook posts,"January 19, 2023",false
198,Ciara O'Rourke,Greta Thunberg staged an arrest in Germany.,Viral image,"January 19, 2023",false
199,Gabrielle Settles,Joan Rivers was killed for revealing that Barack Obama is gay and Michelle Obama is transgender.,Instagram posts,"January 19, 2023",pants-fire
200,Loreben Tuquero,"Joe Biden as vice president didn't ""have the right to declassify"" documents.",Donald Trump,"January 19, 2023",false
201,Samantha Putterman,"“More contraception availability increases abortion demand.""",Instagram posts,"January 18, 2023",false
202,Ciara O'Rourke,Walmart is giving some women $500 grocery store credit as part of a discrimination settlement.,Facebook posts,"January 18, 2023",false
203,Ciara O'Rourke,"The World Economic Forum hired “unvaccinated pilots” to fly people into Davos, Switzerland, for its annual meeting for safety reasons.",Bloggers,"January 18, 2023",false
204,Madison Czopek,"“Americans who worked through the pandemic are being paid up to $26,000 by qualifying for the Employee Retention Credit.”",Facebook posts,"January 17, 2023",false
205,Sara Swann,“Every single Republican blocked Ketanji Brown Jackson’s SCOTUS appointment.”,Facebook posts,"January 17, 2023",false
206,Ciara O'Rourke,Video shows Elon Musk talking about what “every failed leader” he met had in common.,Viral image,"January 17, 2023",false
207,Gabrielle Settles,"Magic Johnson tested positive for HIV ""because Fauci’s gain of function study used a contaminated Hepatitis B vaccine.""",Instagram posts,"January 13, 2023",pants-fire
208,Maria Ramirez,“The White House is now attempting to ban all gas ovens and burners.”,Sean Hannity,"• January 12,",false
209,Ciara O'Rourke,Video shows John F. Kennedy Jr. at Donald Trump’s presidential inauguration.,Viral image,"January 12, 2023",pants-fire
210,Ciara O'Rourke,Video shows Hillary Clinton being arrested.,Viral image,"January 12, 2023",pants-fire
211,Gabrielle Settles,“Lula's staff infiltrated and caused damage while the Brazilian Patriots cleaned up.”,Instagram posts,"January 12, 2023",pants-fire
212,Ciara O'Rourke,Coronavirus is a Latin word for “heart attack virus.”,Viral image,"January 12, 2023",false
213,Tom Kertscher,Cellphone data used to arrest the Idaho quadruple-murder suspect proves that criticism of the “2000 Mules” movie’s use of cell data is unfounded.,John Rich,"January 12, 2023",false
214,Jeff Cercone,The election in Brazil “was very clearly a rigged election.”,Tucker Carlson,"January 12, 2023",false
215,Ciara O'Rourke,MMA fighter Victoria Lee died because of a COVID-19 vaccine.,Facebook posts,"January 11, 2023",false
216,Amy Sherman,"""Parents that go to school board meetings"" and question the curriculum are being ""flagged by the Department of Justice and the FBI for attending a meeting.""",Scott Perry,"January 10, 2023",false
217,Tom Kertscher,"COVID-19 vaccines ""provide zero benefit relative to risk for the young and healthy.""",Robert Malone,"January 10, 2023",false
218,Andy Nguyen,"Tom Hanks shouting ""sexy baby"" is connected to Jeffery Epstein and pedophilia.",Instagram posts,"January 9, 2023",pants-fire
