,author,statement,source,date,target
54,Amy Sherman,Sen. Raphael Warnock “voted for welfare for politicians plan. Up to $25 million of government money for Warnock’s own political campaign.”,National Republican Senatorial Committee,"June 25, 2021",false
55,Isabella Fertel,"“Maxine Waters just introduced a bill to re-name Memorial Day — George Floyd Day.""",Facebook posts,"June 25, 2021",pants-fire
56,Gabrielle Settles,"“Our legal president, President Trump, has signed a cease and desist order for the COVID vaccines.”",TikTok posts,"June 24, 2021",pants-fire
57,Louis Jacobson,"Says Dr. Anthony Fauci in an email ""advises a family member to use (hydroxychloroquine) and antibiotic therapy, the same evening in which in a press conference he attacked (President Donald Trump) on the usefulness of (hydroxychloroquine) to fight the virus.”",Facebook posts,"June 24, 2021",false
58,Ciara O'Rourke,Says Denzel Washington left the Democratic Party because he’s “had it with the lies.”,Viral image,"June 24, 2021",pants-fire
59,Victoria Knight,“The WORLD HEALTH ORGANIZATION recently reversed its stance on children getting the Covid vaccine.”,Facebook posts,"June 24, 2021",false
60,Amy Sherman,Georgia didn’t update its voter rolls prior to the 2020 presidential election; “this means we (you!) won the presidential election in Georgia.”,Donald Trump,"June 23, 2021",pants-fire
61,Ciara O'Rourke,“Military arrests Adam Schiff.”,Bloggers,"June 23, 2021",pants-fire
62,Ciara O'Rourke,“Hawaii to no longer recognize out-of-state driver’s licenses.”,Viral image,"June 23, 2021",false
63,Louis Jacobson,A 9-0 Supreme Court ruling is very rare.,Trey Wingo,"June 23, 2021",false
64,Samantha Putterman,“World Health Organization wants to BAN all women aged 18-50 from drinking alcohol.”,Bloggers,"June 22, 2021",false
65,Jon Greenberg,"Says Greta Thunberg said, ""the climate crisis doesn’t exist.""",Instagram posts,"June 22, 2021",pants-fire
66,Andy Nguyen,“The unvaccinated have escaped every single strain or 'variant’” of SARS-CoV-2.,Facebook posts,"June 22, 2021",false
67,Sasha Hupka,"Gov. Gavin Newsom has “no power or authority” to extend the state of emergency in California because it expired “automatically” on May 6, 2020.",Facebook posts,"June 22, 2021",false
68,Aaron Sharockman,"Says President John F. Kennedy said, “There are people in Washington, D.C., in positions of power to whom the border is just a nuisance, and I think some of them believe that illegal immigration is a moral good. It is not.”",Facebook posts,"June 22, 2021",false
69,Michael Majchrowicz,A heat wave melted turbine blades at a Texas wind farm.,Facebook posts,"June 21, 2021",false
71,Ciara O'Rourke,AstraZeneca means “weapon that kills.”,Viral image,"June 21, 2021",false
72,Brandon Mulder,“We see an uncompleted wall that was duly appropriated dollars during the Trump days to build over 700 miles. Only 150 miles were constructed.”,George P. Bush,"June 21, 2021",false
74,Madison Czopek,“Coolmath Games is being taken down cause it was run by the Mexican drug cartel?”,Facebook posts,"June 21, 2021",false
79,Tom Kertscher,The 2020 election results in Pennsylvania “show a statistically impossible pattern” and votes were manufactured for Joe Biden.,Bloggers,"June 18, 2021",false
80,Ciara O'Rourke,"“Austin mass shooter still at large, but media won’t provide description because he’s Black.”",Viral image,"June 18, 2021",false
84,Madison Czopek,“Cuomo opens New York 72 hours before his daughter's wedding.”,Facebook posts,"June 17, 2021",false
85,Tom Kertscher,Says the Novavax COVID-19 vaccine “dumps millions” of dangerous “spike proteins right into your body.”,Facebook posts,"June 17, 2021",false
87,Tom Kertscher,Says Joe Biden confused his son and his grandson.,TikTok posts,"June 17, 2021",false
88,Ciara O'Rourke,The FBI building in Washington is “completely closed. No one’s in there.”,Viral image,"June 17, 2021",false
90,Tom Kertscher,"The COVID-19 vaccines’ “spike protein is very dangerous, it's cytotoxic.”",YouTube videos,"June 16, 2021",false
91,Samantha Putterman,Says Anthony Fauci will make millions off new book.,Charlie Kirk,"June 15, 2021",false
92,Andy Nguyen,"Emails show that Fauci knew ""hydroxychloroquine worked [and] emailed friends about it being effective.""",Facebook posts,"June 15, 2021",false
93,Tom Kertscher,Says a 2010 Rockefeller Foundation report shows the COVID-19 pandemic and the international response were “meticulously planned at least 10 years ago.”,Facebook posts,"June 15, 2021",false
96,Warren Fiske,“I inherited the largest budget deficit in the history of the state from the Republicans.”,Terry McAuliffe,"June 15, 2021",pants-fire
98,Samantha Putterman,Says professional soccer player Christian Eriksen received the Pfizer vaccine days before he collapsed during a game.,Instagram posts,"June 14, 2021",false
102,Tom Kertscher,"""Report: Vaccine related deaths may rival recorded COVID-19 deaths.""",Instagram posts,"June 11, 2021",false
103,Ciara O'Rourke,Says Baptist pastor Charles Stanley is selling CBD.,Bloggers,"June 10, 2021",false
104,Ciara O'Rourke,Coca-Cola made cans that say “Try to be less white.”,Viral image,"June 10, 2021",false
105,Ciara O'Rourke,“Jamaica becomes the first country to make K-pop illegal.”,Viral image,"June 10, 2021",false
107,Bill McCarthy,"The COVID-19 vaccines make people ""magnetized. They can put a key on their forehead, it sticks. They can put spoons and forks all over them, and they can stick.""",Sherri Tenpenny,"June 9, 2021",false
108,Jon Greenberg,The Biden administration “ignores the negative environmental impact created by lithium mining.”,Chuck Grassley,"June 9, 2021",false
109,Ciara O'Rourke,"Says Marjorie Taylor Greene said, “People are dying who have never died before.”",Facebook posts,"June 9, 2021",false
111,Michael Majchrowicz,Video shows Israel’s Iron Dome missile defense system engaged in military combat.,Facebook posts,"June 9, 2021",false
112,Amy Sherman,“Republican state senators” who started an audit of 2020 election results in Maricopa County are “exposing this fraud.”,Donald Trump,"June 9, 2021",false
113,Ciara O'Rourke,Video shows man trying to “fill entire pickup bed with fuel amidst last month’s fuel shortage.”,Bloggers,"June 9, 2021",false
114,Ciara O'Rourke,"Says Anthony Bourdain tweeted, “This might be the best bat soup I ever had in my life. Someday everyone’s gonna be talking about Wuhan.”",Viral image,"June 9, 2021",false
115,Miriam Valverde,"""920 women lose their unborn babies after getting vaccinated.""",Instagram posts,"June 8, 2021",false
117,Ciara O'Rourke,"“Tim Tebow says he is wearing #85 to honor his former friend/teammate and fellow TE Aaron Hernandez, who passed away in 2017.”",Viral image,"June 8, 2021",false
118,Ciara O'Rourke,“Biden gets brutal impeachment.”,Facebook posts,"June 8, 2021",pants-fire
120,Madison Czopek,"""Airlines are meeting today to discuss the risks of carrying vaxed passengers due to the risk of clots and the liabilities involved.”",Instagram posts,"June 7, 2021",false
122,Ciara O'Rourke,Photo shows “the plane that brings our dead military home. It is made so that when they shoot their salute for their service it looks like an angel carrying them home.”,Viral image,"June 7, 2021",false
123,Ciara O'Rourke,Says Bruno Mars is Michael Jackson’s son.,Facebook posts,"June 7, 2021",false
125,Ciara O'Rourke,“The Eisenhower interstate system requires that one mile in every five must be straight.”,Viral image,"June 7, 2021",false
126,Ciara O'Rourke,“Donald Trump gave his big speech today with his pants on backward.”,Viral image,"June 7, 2021",false
128,Tom Kertscher,Viral immunologist says COVID-19 vaccines’ “spike protein” means people are being inoculated “with a toxin.”,Facebook posts,"June 7, 2021",false
129,Tom Kertscher,Says Donald Trump signed the Insurrection Act and “still is president.”,Facebook posts,"June 4, 2021",pants-fire
130,Ciara O'Rourke,"Says James Mattis said, “If you burn the American flag you’ll spend two years in the military. I promise you, you’ll be cured of the desire to burn a flag ever again.”",Viral image,"June 4, 2021",false
131,Madison Czopek,“There is a place in the U.S. where murder is legal.”,TikTok posts,"June 4, 2021",false
132,Ciara O'Rourke,Video shows the Jan. 6 Capitol riot was a “completely peaceful protest.”,Bloggers,"June 4, 2021",pants-fire
135,Ciara O'Rourke,“Fauci’s emails leaked.”,Facebook posts,"June 4, 2021",false
136,Ciara O'Rourke,Photo shows R. Kelly being released from prison in 2021.,Viral image,"June 4, 2021",false
137,Ciara O'Rourke,“In 38 days Pelosi and Schiff are up for reelection. Nadler up June 23.”,Viral image,"June 4, 2021",false
138,Ciara O'Rourke,Photo shows Tom Hanks after “wife Rita exposed his condition after he was spotted in a bad state. Tom will spend the remainder of his life in and out of hospitals.”,Viral image,"June 4, 2021",false
139,D.L. Davis,Says U.S. Rep. Ron Kind has “spent more $ in 100+ days than was spent fighting WWII,Derrick Van Orden,"June 4, 2021",false
140,Andy Nguyen,Says the Pentagon killed a man who invented a water-powered fuel cell for cars.,Facebook posts,"June 3, 2021",false
141,Warren Fiske,Terry McAuliffe favors “taking the Pledge of Allegiance and the 4th of July out of the (school) curriculum.”,Glenn Youngkin,"June 3, 2021",false
143,Michael Majchrowicz,"""The CDC lowered the PCR threshold while no longer recording asymptomatic cases...but only for the vaccinated.""",Tweets,"June 3, 2021",false
144,Jon Greenberg,"Emails show ""Fauci's fellow scientist could tell early on that the (coronavirus) looked manufactured.""",Facebook posts,"June 2, 2021",false
146,Tom Kertscher,"An email from Dr. Anthony Fauci shows ""everyone was lied to"" about wearing masks to prevent the spread of COVID-19.",Instagram posts,"June 2, 2021",false
148,Ciara O'Rourke,“U.S. military arrests Dr. Deborah Birx.”,Viral image,"June 2, 2021",false
150,Monique Curet,“So the unvaxxed have to wear mask (sic) to protect the vaxxinated.”,Facebook posts,"June 2, 2021",false
151,Samantha Putterman,“Not one word” from Joe Biden and Kamala Harris honoring service members for Memorial Day.,Facebook posts,"June 1, 2021",false
152,Tom Kertscher,"""Absent from the news — Dominion lost their lawsuits against Rudy Giuliani and Sidney Powell.""",Facebook posts,"June 1, 2021",false
153,Emily Tian,"""You will be 'vaccinated' regardless of whether you receive the shot or not.”",Viral image,"June 1, 2021",false
154,Jon Greenberg,"Says ATF chief nominee David Chipman was part of the 1993 assault on the Branch Davidian compound in Waco, Texas.",Viral image,"June 1, 2021",false
155,Jill Terreri,"""The one good thing about the antibodies if you’ve had it, is it actually is even better than the vaccine, and here's why. With the vaccine you can still transmit, with the antibodies you can't transmit.”",Andrew Giuliani,"• May 31,",false
157,Samantha Putterman,COVID-19 vaccines are creating the coronavirus variants.,Facebook posts,"May 28, 2021",false
159,Gabrielle Settles,Says a photo shows Michelle Obama as a man prior to marrying Barack Obama.,Instagram posts,"May 28, 2021",pants-fire
162,Ciara O'Rourke,"Says Luc Montagnier said, “There is no hope and no possible treatment for those who have been vaccinated already. We must be prepared to incinerate the bodies.”",Viral image,"May 28, 2021",false
163,Tom Kertscher,Says Donald Trump was back on Twitter as of May 2021.,Viral image,"May 28, 2021",false
166,Ciara O'Rourke,You can’t donate plasma after getting a COVID-19 vaccine.,Instagram posts,"May 28, 2021",false
167,Andy Nguyen,"People with the COVID-19 vaccine are being ""tracked in real time via 5G cellular, and all that data can be hacked into to track you.""",Hal Turner Radio Show,"May 28, 2021",pants-fire
168,Michael Majchrowicz,"Says BLM activist Sasha Johnson tweeted, “The white man will not be our equal but our slave.”",Facebook posts,"May 28, 2021",pants-fire
170,Noah Y.,An image shows the Blue Angels performing a maneuver called the “Hand of God.”,Facebook posts,"• May 27,",false
172,Ciara O'Rourke,The CDC in mid-May quietly changed its international travel recommendations to require fully vaccinated people to test negative for COVID-19 before flying to the United States.,Viral image,"May 27, 2021",false
174,Warren Fiske,“The very first Republican convention after the Civil War was held in Virginia in a Black church.”,Winsome Earle-Sears,"May 27, 2021",false
176,Amy Sherman,“Boom! Georgia 1st to decertify election.”,Facebook posts,"May 27, 2021",pants-fire
177,Tom Kertscher,Says a photo shows a “lithium mine for hybrid cars.”,Facebook posts,"May 26, 2021",false
178,Ciara O'Rourke,“Lego unveils new genderless bricks with no male/female connectors.”,Viral image,"May 26, 2021",false
179,Miriam Valverde,“Biden agrees to Pelosi's request to resign.”,Facebook posts,"May 26, 2021",pants-fire
180,Gabrielle Settles,“943 innocent kids … are now injured or dead” because of the COVID-19 vaccine.,Instagram posts,"May 26, 2021",false
181,Ciara O'Rourke,The mother of a missing boy in Nebraska confessed to killing him.,Viral image,"May 26, 2021",false
183,Sasha Hupka,“Businesses cannot legally ask for proof of vaccination and cannot deny entry based on vaccination status.”,Instagram posts,"May 26, 2021",false
184,Ciara O'Rourke,Getting the COVID-19 vaccine jeopardizes life insurance policies.,Viral image,"May 26, 2021",false
186,Ciara O'Rourke,The CDC lifting mask guidelines “out of the blue with no solid explanation proves they lied to you the whole time about everything.”,Viral image,"May 25, 2021",false
187,Bill McCarthy,Arizona ballots were shredded and burned in a chicken farm fire.,Instagram posts,"May 25, 2021",pants-fire
188,Ciara O'Rourke,Says Anthony Fauci’s wife has “a secret plan to put psych drugs in drinking water” to get people vaccinated.,Instagram posts,"May 25, 2021",pants-fire
189,Brandon Mulder,"“Since removing the mask mandate two months ago, Texas has not reported a single COVID death. Not one.""",Lauren Boebert,"May 25, 2021",pants-fire
190,Ciara O'Rourke,Video shows “Israel’s defense system.”,Viral image,"May 25, 2021",false
194,Ciara O'Rourke,An Ohio doctor died from a COVID-19 vaccine.,Facebook posts,"May 24, 2021",false
195,Ciara O'Rourke,"Says Chelsea Clinton tweeted, “The more I hear about Bill Gates behavior the more ashamed for him I feel. What kind of man pursues a physical relationship with an underling and has relations with her in their office???”",Viral image,"May 24, 2021",pants-fire
197,Bill McCarthy,The AstraZeneca COVID-19 vaccine contains a Bluetooth microchip.,TikTok posts,"May 21, 2021",false
198,Madison Czopek,An electromagnetic radiation detector can detect radiation from someone’s COVID-19 vaccination.,Facebook posts,"May 21, 2021",false
199,Ciara O'Rourke,Businesses aren't allowed to ask customers if they’ve been vaccinated because “there are HIPPA laws.”,Viral image,"May 21, 2021",false
200,Ciara O'Rourke,Says Dr. Anthony Fauci’s wife is the NIH official “who rubber stamps exceptions to normal drug and vaccine testing.”,Viral image,"May 21, 2021",false
203,Andy Nguyen,"The Moderna vaccine contains an ingredient that is “for research use only, not meant for human or veterinary use.”",Instagram posts,"May 21, 2021",false
205,Gabrielle Settles,Photos show Joe Biden didn’t drive himself during an electric vehicle test drive.,Facebook posts,"May 20, 2021",pants-fire
206,Ciara O'Rourke,“Black Lives Matter says it stands with Hamas terrorists in Israeli conflict.”,Viral image,"May 20, 2021",false
207,Bill McCarthy,"The Biden White House has ""no one there. They don't travel. They don't go down to the border. They don't go overseas.""",Eric Trump,"May 20, 2021",pants-fire
208,Ciara O'Rourke,Photo shows a “Palestinian boy cleaning his own family’s blood.”,Viral image,"May 20, 2021",false
209,Ciara O'Rourke,“The minions from ‘Despicable Me’ are based off of these Jewish children tortured by Nazis during the Holocaust.”,Viral image,"May 20, 2021",pants-fire
210,Monique Curet,“CDC director finally admits that COVID cases were overcounted in hospitals”,The Gateway Pundit,"May 20, 2021",false
211,Michael Majchrowicz,Says the CDC’s new tracking policy is covering up cases of “breakthrough” COVID-19 infections among vaccinated people.,Facebook posts,"May 20, 2021",false
212,Steven Rascón,"Wearing face masks may cause ""pulmonary fibrosis"" and other health risks in children.",Facebook posts,"May 19, 2021",pants-fire
214,Ciara O'Rourke,“Biden is computer generated.”,Facebook posts,"May 19, 2021",pants-fire
215,Ciara O'Rourke,Poll shows that men are more likely to do chores than women in U.S. households.,Viral image,"May 19, 2021",false
216,Ciara O'Rourke,“Pope Francis kissing the hands of David Rockefeller & John Rothschild.”,Viral image,"May 19, 2021",false
217,Ciara O'Rourke,Photos show a photojournalist crying while capturing pictures of the Aqsa Mosque in Jerusalem.,Viral image,"May 19, 2021",false
218,Tom Kertscher,"""The entire Database of Maricopa County in Arizona has been DELETED!""",Donald Trump,"May 19, 2021",false
219,Louis Jacobson,"""There is no law that deals specifically with the term ‘partial-birth abortion.’”",Xavier Becerra,"May 19, 2021",false
220,Samantha Putterman,Says Don Lemon’s show has been canceled and he is leaving CNN.,YouTube videos,"May 19, 2021",false
221,Ciara O'Rourke,University of Miami researchers have found that the COVID-19 vaccine affects sperm production.,Viral image,"May 19, 2021",false
222,Samantha Putterman,“Video shows U.S. Capitol Police gave protesters OK to enter.”,Facebook posts,"May 18, 2021",pants-fire
223,Ciara O'Rourke,Photo shows an anti-Israel activist holding a photo of Adolf Hitler.,Viral image,"May 18, 2021",false
224,Ciara O'Rourke,Photo shows Kamala Harris pretending to board an official plane.,Viral image,"May 18, 2021",pants-fire
225,Bill McCarthy,"""COVID-19 Jab: They skipped all animal trials because all animals were dying and went directly to people.""",Instagram posts,"May 18, 2021",false
226,Ciara O'Rourke,Video shows Palestinians faking a funeral procession for a child.,Viral image,"May 18, 2021",false
227,Ciara O'Rourke,Photo shows Joe Biden groping Jen Psaki.,Viral image,"May 18, 2021",pants-fire
229,Tom Kertscher,"“About 40% to 50% of CDC, FDA employees are refusing the COVID-19 vaccine, according to” Anthony Fauci and FDA’s Peter Marks.",Facebook posts,"May 18, 2021",false
231,Ciara O'Rourke,Merriam-Webster recently changed its definition of “anti-vaxxer” to include people who oppose laws that mandate vaccination.,Viral image,"May 17, 2021",false
232,Andy Nguyen,"""When you can't find gas, remember who executively ordered the Keystone Pipeline to close.""",Facebook posts,"May 17, 2021",false
233,Tom Kertscher,Says photos show a “boneyard” of electric cars abandoned in France because the cars’ batteries were too expensive to replace.,Facebook posts,"May 17, 2021",false
234,Madison Czopek,Transmission of COVID-19 by asymptomatic individuals “has never been proven.”,Instagram posts,"May 17, 2021",false
235,Ciara O'Rourke,Magnet video proves COVID-19 vaccines contain microchips.,Viral image,"May 17, 2021",false
236,Miriam Valverde,"""I don't think anybody is questioning the legitimacy of the presidential election.""",Kevin McCarthy,"May 14, 2021",pants-fire
238,Ciara O'Rourke,Says Benjamin Netanyahu gave a speech to Hamas leaders thanking them for uniting Israel.,Facebook posts,"May 14, 2021",false
240,Brandon Mulder,The voting rights bill “would register millions of illegal aliens to vote. It is intended to do that.”,Ted Cruz,"May 14, 2021",pants-fire
243,Ciara O'Rourke,Video shows woman filling plastic bags with gas after Colonial Pipeline disruption.,Viral image,"May 13, 2021",false
244,Amy Sherman,"“Watching the TV footage of those who entered the Capitol. … If you didn't know the TV footage was from Jan. 6, you would actually think it was a normal tourist visit.”",Andrew Clyde,"May 13, 2021",pants-fire
245,Ciara O'Rourke,Photos show gas costs nearly $10 in the Carolinas.,Viral image,"May 13, 2021",false
246,Ciara O'Rourke,Exxon sign says drivers “must show proof of a job for gas purchase.”,Viral image,"May 13, 2021",false
247,Ciara O'Rourke,Photo shows “plastic bags filled with gas” in someone’s car trunk in South Carolina.,Viral image,"May 13, 2021",false
249,Ciara O'Rourke,“U.S. Census Bureau confirms huge conflict in total number of voters in 2020 election.”,Facebook posts,"May 12, 2021",false
250,Ciara O'Rourke,"“Due to the Colonial Pipeline issue causing a fuel shortage on the east coast, NASCAR has decided to postpone this weekend’s Dover race.”",Viral image,"May 12, 2021",false
252,Ciara O'Rourke,“Amazon accepts Dogecoin.”,Viral image,"May 12, 2021",false
255,Victoria Knight,"For vaccine rates among Americans 65 and older, “there’s virtually no difference between white, Black, Hispanic, Asian American.”",Joe Biden,"May 11, 2021",false
257,Ciara O'Rourke,The COVID-19 vaccine “will make the common cold/flu extremely lethal.”,Instagram posts,"May 11, 2021",false
258,Clara Hendrickson,"""Michigan has requested a full forensic audit.""",Facebook posts,"May 11, 2021",false
259,Ciara O'Rourke,“Birmingham is officially out of gas and fuel and can’t get anymore.”,Viral image,"May 10, 2021",false
260,Ciara O'Rourke,New Jersey “will be out of gas for a week.”,Facebook posts,"May 10, 2021",false
261,Madison Czopek,"""Scientists Claim to Spot Fungus Growing on Mars in NASA Rover Photos”",Bloggers,"May 10, 2021",false
263,Isabella Fertel,“The death rate for fully vaccinated people is significantly higher than non-vaccinated [people].”,Instagram posts,"May 10, 2021",false
266,Bill McCarthy,"Says Chelsea Clinton tweeted, ""If Jesus were alive today he'd be working at Planned Parenthood.""",Facebook posts,"May 7, 2021",pants-fire
267,Samantha Putterman,“First time in 70 years the National Day Of Prayer was not observed in our nation’s capital!”,Facebook posts,"May 7, 2021",false
269,Miriam Valverde,“The global cost of corruption is as much as 5% of the world's GDP.”,Kamala Harris,"May 7, 2021",false
272,Tom Kertscher,"An ongoing audit of the 2020 presidential election in Arizona “showed Trump ahead by 250,000” votes, and “nearly 950,000 ballots are declared illegal, nearly all for Biden.”",Facebook posts,"May 7, 2021",pants-fire
273,Ciara O'Rourke,All charges were dropped against Bill Cosby and he was granted an early release.,YouTube videos,"May 6, 2021",false
274,Bill McCarthy,"“Between late December of 2020 and last month, a total of 3,362 people apparently died after getting the COVID vaccine in the United States … The actual number is almost certainly higher.”",Tucker Carlson,"May 6, 2021",false
275,Ciara O'Rourke,Says Nikki Haley “white-washed” her name because she thought it “would give her a better chance than the name Nimrata Randhawa.”,Viral image,"May 6, 2021",pants-fire
276,Tom Kertscher,"""15-year-old boy passes away from heart attack two days after Pfizer COVID-19 experimental jab.""",Bloggers,"May 6, 2021",false
278,Noah Y.,“Washington Post ends fact-checking for Biden for the remainder of his presidency.”,Facebook posts,"• May 6,",false
279,Tom Kertscher,“A year ago we had the lowest unemployment in history without using taxpayers money.”,Facebook posts,"May 5, 2021",false
280,Amy Sherman,A spy plane was circling the building of the Arizona election audit.,Bloggers,"May 5, 2021",pants-fire
281,Samantha Putterman,"“Joe Suffers Brain Fart! Biden Visits Elementary School, Asks The Children If They’re High Schoolers (VIDEO).”",Bloggers,"May 5, 2021",false
282,Warren Fiske,"The Green New Deal “costs an average American household almost $700,000 through 2029.”",Ben Cline,"May 5, 2021",false
283,Chris Nichols,"California Gov. Gavin Newsom “just let 76,000 inmates out of jail.""",John Cox,"May 5, 2021",false
286,Ciara O'Rourke,"“Parents in Vail, Arizona just took over the school board — all according to the rules. Voted in a whole new board, and immediately removed the mask mandate.”",Viral image,"May 4, 2021",false
287,Gabrielle Settles,"If you get the COVID-19 vaccine, you can't donate blood or plasma ""because it's completely tainted.""",TikTok posts,"May 4, 2021",false
288,Tom Kertscher,"An audit of the 2020 election in Maricopa County, Ariz., “is confirming the rumors that real ballots have a special watermark.”",Facebook posts,"May 4, 2021",false
291,Andy Nguyen,Images show LeBron James standing for China's national anthem while shouting during the United States’ national anthem.,Viral image,"May 3, 2021",false
292,Ciara O'Rourke,"Says Kentucky Derby jockey John Velazquez turned down an invitation to the White House and said, “if I wanted to see a horse’s ass I would of came in second.”",Facebook posts,"May 3, 2021",pants-fire
293,Sasha Hupka,"Social media posts stated: “Remember Kamala telling Joe during the debate, ‘You will do whatever the Chinese tell you! They gave your son over a billion dollars.’”",Facebook posts,"April 30, 2021",pants-fire
295,Bill McCarthy,“Anyone remember Kamala telling Joe during the debate: ‘You will do whatever the Chinese tell you! They gave your son over a billion dollars.’”,Facebook posts,"April 30, 2021",pants-fire
296,Madison Czopek,"""The Unvaccinated Beware, COVID-19 mRNA Shots Cause Death and Disease Through GMO Shedding""",Facebook posts,"April 30, 2021",false
297,Samantha Putterman,Vaccine herd immunity doesn’t exist because 100% of the population would have to be vaccinated for it to work.,Instagram posts,"April 30, 2021",false
